"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"M90-DAL","DAL","DAL","M90","gate","jet_transport","L-GAV","false","","","","",""
"320-DAL","DAL","DAL","320","gate","jet_transport","L-GAV","false","","","","",""
"73H-DAL","DAL","DAL","73H","gate","jet_transport","L-GAV","false","","","","",""
"319-DAL","DAL","DAL","319","gate","jet_transport","L-GAV","false","","","","",""
"333-DAL","DAL","DAL","333","gate","jet_transport","L-GAV","false","","","","",""
"747-KLM","KLM","KLM","747","gate","jet_transport","L-GAV","false","","","","",""
"320-CSA","CSA","CSA","320","gate","jet_transport","L-GAV","false","","","","",""
"73H-ASA","ASA","ASA","73H","gate","jet_transport","L-GAV","false","","","","",""
"734-ASA","ASA","ASA","734","gate","jet_transport","L-GAV","false","","","","",""
"739-ASA","ASA","ASA","739","gate","jet_transport","L-GAV","false","","","","",""
"73G-ASA","ASA","ASA","73G","gate","jet_transport","L-GAV","false","","","","",""
"73Q-ASA","ASA","ASA","73Q","gate","jet_transport","L-GAV","false","","","","",""
"DH4-OAL","OAL","OAL","DH4","gate","jet_transport","L-GAV","false","","","","",""
"320-OAL","OAL","OAL","320","gate","jet_transport","L-GAV","false","","","","",""
"DH8-OAL","OAL","OAL","DH8","gate","jet_transport","L-GAV","false","","","","",""
"319-OAL","OAL","OAL","319","gate","jet_transport","L-GAV","false","","","","",""
"73W-DAL","DAL","DAL","73W","gate","jet_transport","L-GAV","false","","","","",""
"752-DAL","DAL","DAL","752","gate","jet_transport","L-GAV","false","","","","",""
"764-DAL","DAL","DAL","764","gate","jet_transport","L-GAV","false","","","","",""
"753-DAL","DAL","DAL","753","gate","jet_transport","L-GAV","false","","","","",""
"777-DAL","DAL","DAL","777","gate","jet_transport","L-GAV","false","","","","",""
"77L-DAL","DAL","DAL","77L","gate","jet_transport","L-GAV","false","","","","",""
"763-DAL","DAL","DAL","763","gate","jet_transport","L-GAV","false","","","","",""
"772-KAL","KAL","KAL","772","gate","jet_transport","L-GAV","false","","","","",""
"744-KAL","KAL","KAL","744","gate","jet_transport","L-GAV","false","","","","",""
"773-KAL","KAL","KAL","773","gate","jet_transport","L-GAV","false","","","","",""
"321-CES","CES","CES","321","gate","jet_transport","L-GAV","false","","","","",""
"73G-GLO","GLO","GLO","73G","gate","jet_transport","L-GAV","false","","","","",""
"DH4-ASA","ASA","ASA","DH4","gate","jet_transport","L-GAV","false","","","","",""
"738-GLO","GLO","GLO","738","gate","jet_transport","L-GAV","false","","","","",""
"319-CSA","CSA","CSA","319","gate","jet_transport","L-GAV","false","","","","",""
"735-CSA","CSA","CSA","735","gate","jet_transport","L-GAV","false","","","","",""
"CR7-ASA","ASA","ASA","CR7","gate","jet_transport","L-GAV","false","","","","",""
"332-KAL","KAL","KAL","332","gate","jet_transport","L-GAV","false","","","","",""
"73H-KAL","KAL","KAL","73H","gate","jet_transport","L-GAV","false","","","","",""
"E70-VBI","VBI","VBI","E70","gate","jet_transport","L-GAV","false","","","","",""
"763-RAM","RAM","RAM","763","gate","jet_transport","L-GAV","false","","","","",""
"320-CES","CES","CES","320","gate","jet_transport","L-GAV","false","","","","",""
"320-CSN","CSN","CSN","320","gate","jet_transport","L-GAV","false","","","","",""
"73E-CES","CES","CES","73E","gate","jet_transport","L-GAV","false","","","","",""
"738-CES","CES","CES","738","gate","jet_transport","L-GAV","false","","","","",""
"333-KAL","KAL","KAL","333","gate","jet_transport","L-GAV","false","","","","",""
"77W-KAL","KAL","KAL","77W","gate","jet_transport","L-GAV","false","","","","",""
"737-AMX","AMX","AMX","737","gate","jet_transport","L-GAV","false","","","","",""
"738-AMX","AMX","AMX","738","gate","jet_transport","L-GAV","false","","","","",""
"744-DAL","DAL","DAL","744","gate","jet_transport","L-GAV","false","","","","",""
"319-CES","CES","CES","319","gate","jet_transport","L-GAV","false","","","","",""
"321-CSN","CSN","CSN","321","gate","jet_transport","L-GAV","false","","","","",""
"319-CSN","CSN","CSN","319","gate","jet_transport","L-GAV","false","","","","",""
"738-CSN","CSN","CSN","738","gate","jet_transport","L-GAV","false","","","","",""
"752-CSN","CSN","CSN","752","gate","jet_transport","L-GAV","false","","","","",""
"772-CSN","CSN","CSN","772","gate","jet_transport","L-GAV","false","","","","",""
"73G-CSN","CSN","CSN","73G","gate","jet_transport","L-GAV","false","","","","",""
"333-CAL","CAL","CAL","333","gate","jet_transport","L-GAV","false","","","","",""
"738-CAL","CAL","CAL","738","gate","jet_transport","L-GAV","false","","","","",""
"717-DAL","DAL","DAL","717","gate","jet_transport","L-GAV","false","","","","",""
"388-KAL","KAL","KAL","388","gate","jet_transport","L-GAV","false","","","","",""
"AT4-CSA","CSA","CSA","AT4","gate","jet_transport","L-GAV","false","","","","",""
"737-CES","CES","CES","737","gate","jet_transport","L-GAV","false","","","","",""
"346-CES","CES","CES","346","gate","jet_transport","L-GAV","false","","","","",""
"744-CAL","CAL","CAL","744","gate","jet_transport","L-GAV","false","","","","",""
"ER3-AFR","AFR","AFR","ER3","gate","jet_transport","L-GAV","false","","","","",""
"E90-VBI","VBI","VBI","E90","gate","jet_transport","L-GAV","false","","","","",""
"EMB-CES","CES","CES","EMB","gate","jet_transport","L-GAV","false","","","","",""
"332-VBI","VBI","VBI","332","gate","jet_transport","L-GAV","false","","","","",""
"73J-KAL","KAL","KAL","73J","gate","jet_transport","L-GAV","false","","","","",""
"333-CES","CES","CES","333","gate","jet_transport","L-GAV","false","","","","",""
